name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
Bourbon On The Rocks,Pour bourbon into old-fashioned glass half-filled with ice.,Cocktail Classics,Old-Fashioned Glass, Bourbon,,,,,,,,,,,,2 oz,,,,,,,,,,,
Bourbon Cobbler,"Combine all ingredients in mixing glass, pour over ice into old-fashioned glass. Decorate with peach slice.",Cocktail Classics,Old-Fashioned Glass,Bourbon, Lemon Juice, Grapefruit Juice, Almond extract,,,,,,,,,2 1/2 oz  ,1 oz,2 oz,1 1/2 oz,,,,,,,,
Bourbon and Water,"Pour bourbon and water into old-fashioned glass. Add ice and a twist of lemon peel, if desired, and stir.",Cocktail Classics,Old-Fashioned Glass, Bourbon, Water,,,,,,,,,,,2 oz,4 oz,,,,,,,,,,
Greenpoint,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Whiskies,Cocktail Glass, Straight rye whiskey, Yellow Chartreuse, Sweet Vermouth, Angostura Bitters, Orange Bitters, Lemon twist,,,,,,,2 oz,1/2 oz,1/2 oz,1 oz,1 oz,,,,,,,
Yellowjacket,Shake with old-fashioned glass filled with ice cubes. Garnish with a lemon slice.,Non-alcoholic Drinks,Old-Fashioned Glass, Pineapple Juice, Orange Juice, Lemon Juice,,,,,,,,,,2 oz,2 oz,1/2 oz,,,,,,,,,
Velvet Peach Hammer,Pour vodka and schnapps into ice-filled old-fashioned glass. Stir and top with syrup and lemon juice. Garnish with peach.,Vodka,Old-Fashioned Glass, Vodka, Peach schnapps, Simple Syrup, Fresh lemon juice,,,,,,,,,1 3/4 oz,3/4 oz,1/4 oz,1/2 oz, Peach slice,,,,,,,
Grandfather,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Whiskies,Cocktail Glass, Bourbon whiskey, Applejack, Sweet Vermouth, Angostura Bitters, Peychaud's Bitters, Maraschino cherry,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,,,,,,,
Goldrush,Shake and strain into ice-filled old-fashioned glass.,Whiskies,Old-Fashioned Glass, Bourbon whiskey, Fresh lemon juice, Honey Syrup,,,,,,,,,,2 oz,3/4 oz,1 oz,,,,,,,,,
Sake Martini,"Stir with ice, strain into 3-or 4-oz. cocktail glass and serve with an olive.",Cocktail Classics,Cocktail Glass, Sake, Mr. Boston Gin,,,,,,,,,,,1 oz,3 oz,,,,,,,,,,
Godfather,Pour into ice-filled old-fashioned glass and stir.,Whiskies,Old-Fashioned Glass, Blended Scotch Whiskey, Amaretto,,,,,,,,,,,1 1/2 oz,3/4 oz,,,,,,,,,,
Jack-In-The-Box,Shake with ice and strain into chilled cocktail glass.,Brandy,Cocktail Glass, Applejack, Pineapple Juice, Angostura Bitters,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,
Saronno,Shake well with cracked ice. Strain and serve in cocktail glass.,Cocktail Classics,Cocktail Glass, Amaretto di Saronno, Mr. Boston Five Star Brandy, Light cream,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,
Saronno Colada (Nutty Colada),Put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. Pour into a collins glass and serve with a straw.,Cocktail Classics,Collins Glass, Amaretto di Saronno, Coconut Milk, Crushed Pineapple,,,,,,,,,,3 oz,3 oz,3 oz,,,,,,,,,
Saronno Mist,"Serve in an old-fashioned glass over crushed ice with a twist of lemon or a wedge of lime, if desired.",Cocktail Classics,Old-Fashioned Glass, Amaretto di Saronno,,,,,,,,,,,,1 1/2 oz,,,,,,,,,,,
Saronno Rose,Pour Amaretto di Saronno and lime juice over ice in a collins glass and fill with club soda.,Cocktail Classics,Collins Glass, Amaretto di Saronno, Roses Lime Juice, Club Soda,,,,,,,,,,1 1/2 oz,1/2 oz,1 oz,,,,,,,,,
Gilchrist,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Whiskies,Cocktail Glass, Blended Scotch Whiskey, Pear brandy, Grapefruit Juice, Amaro, Grapefruit bitters, Lemon twist,,,,,,,1 1/2 oz,3/4 oz,3/4 oz,1/2 oz,2 oz,,,,,,,
