name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
'57 Chevy with a White License Plate,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Cocktail,Highball glass,Creme de Cacao,Vodka,,,,,,,,,,,1 oz white ,1 oz , , , , , ,,,,,
1-900-FUK-MEUP,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Shot,Old-fashioned glass,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , , , , 
110 in the shade,Drop shooter in glass. Fill with beer,Beer,Beer Glass,Lager,Tequila,,,,,,,,,,,16 oz ,1.5 oz , , , , , ,,,,,
151 Florida Bushwacker,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Milk / Float / Shake,Beer mug,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , , , , 
155 Belmont,Blend with ice. Serve in a wine glass. Garnish with carrot.,Cocktail,White wine glass,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot , , , , , ,,,
24k nightmare,"Add over ice,shake and pour.",Shot,Shot glass,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , ,,,
252,"Add both ingredients to shot glass, shoot, and get drunk quick",Shot,Shot glass,151 proof rum,Wild Turkey,,,,,,,,,,,1/2 shot Bacardi ,1/2 shot , , , , , ,,,,,
3 Wise Men,put them them in a glass... and slam it to tha head.,Shot,Collins glass,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz , , , , , ,,,,
3-Mile Long Island Iced Tea,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Ordinary Drink,Collins Glass,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , , , , 
410 Gone,,Ordinary Drink,Collins Glass,Peach Vodka,Coca-Cola,,,,,,,,,,,2-3 oz,,,,,,,,,,,
50/50,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Ordinary Drink,Collins Glass,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,2 1/2 oz ,1 splash ,Fill with , , , , , ,,,,
501 Blue,Mix equal amounts into a glass with ice.,Ordinary Drink,Collins Glass,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,"
","
","
","
","
","
","
","
",,,,
69 Special,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Ordinary Drink,Collins Glass,Gin,7-Up,Lemon juice,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz , , , , , ,,,,
747,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",Shot,Shot glass,Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,1/3 part ,1/3 part ,1/3 part , , , , , ,,,,
9 1/2 Weeks,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Cocktail,Cocktail glass,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,2 oz ,1/2 oz ,1 splash ,1 oz , , , , , ,,,
A Day at the Beach,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Ordinary Drink,Highball glass,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,1 oz ,1/2 oz ,4 oz ,1/2 oz , , , , , ,,,
A Furlong Too Late,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Ordinary Drink,Highball glass,Light rum,Ginger beer,Lemon peel,,,,,,,,,,2 oz ,4 oz ,1 twist of , , , , , ,,,,
A Gilligan's Island,"Shaken, not stirred!",Cocktail,Collins glass,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz , , , , , ,,,
A Night In Old Mandalay,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Ordinary Drink,Highball glass,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,1 oz ,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of , , , , , ,
A Piece of Ass,Put ice in glass. Pour in shots. Fill with Sour Mix.,Other/Unknown,Highball glass,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,1 shot ,1 shot ," cubes
","
","
","
","
","
","
",,,
A Splash of Nash,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,Shot,Highball glass,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,2 oz ,2 oz ,0.5 oz ,0.5 oz , , , , , ,,,
A True Amaretto Sour,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",Cocktail,Old-fashioned glass,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,1 jigger ,Juice of 1/2 ,"
", , , , , ,,,,
A midsummernight dream,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Ordinary Drink,Collins Glass,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,2 oz ,1 oz ,1 tsp ,5,"
","
","
","
","
","
",,
A. J.,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Applejack,Grapefruit juice,,,,,,,,,,,1 1/2 oz ,1 oz , , , , , ,,,,,
A.D.M. (After Dinner Mint),shake vigorously,Cocktail,Irish coffee cup,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with , , , , , ,,,
A1,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Cocktail,Cocktail glass,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,"
","
","
",,,,,
ABC,Layered in a shot glass.,Shot,Shot glass,Amaretto,Bailey's irish cream,Cognac,,,,,,,,,,01-Mar,01-Mar,01-Mar, , , , , ,,,,
ACID,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Shot,Shot glass,151 proof rum,Wild Turkey,,,,,,,,,,,1 oz Bacardi ,1 oz , , , , , ,,,,,
AT&T,"Pour Vodka and Gin over ice, add Tonic and Stir",Ordinary Drink,Highball Glass,Absolut Vodka,Gin,Tonic water,,,,,,,,,,1 oz ,1 oz ,4 oz , , , , , ,,,,
Abbey Cocktail,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Ordinary Drink,Cocktail glass,Gin,Orange bitters,Orange,Cherry,,,,,,,,,1 1/2 oz ,1 dash ,Juice of 1/4 ,1, , , , , ,,,
Abbey Martini,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",Cocktail,Cocktail glass,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,2 shots ,1 shot ,1 shot ,3 dashes ,"
","
","
",,,,,
Abilene,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Ordinary Drink,Highball glass,Dark rum,Peach nectar,Orange juice,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz , , , , , ,,,,
Absinthe #2,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",Homemade Liqueur,Jar,Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,,,1 bottle ,50 gr ,50 ml pure ,1 tblsp ,1, , , , , ,,
Absolut Evergreen,"Mix, pour over ice and top up with Bitter Lemon.",Other/Unknown,Collins Glass,Absolut Citron,Pisang Ambon,Ice,Bitter lemon,,,,,,,,,2/3 part ,1/3 part ," cubes
","
","
","
","
","
","
",,,
Absolut Sex,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",Shot,Old-fashioned glass,Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,,,,,,,,,3/4 oz ,3/4 oz ,1 oz ,1 splash , , , , , ,,,
Absolut Stress #2,Mix well. Garnish with Orange and Cherry. Enjoy,Ordinary Drink,Collins Glass,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz , , , , , ,,
Absolut Summertime,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,Cocktail,Collins glass,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,,,1 1/2 oz ,3/4 oz ,1/2 oz ,3 oz ,1 slice , , , , , ,,
Absolut limousine,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,Other/Unknown,Collins Glass,Absolut Citron,Lime juice,Ice,Tonic water,,,,,,,,,02-Mar,01-Mar,Fill with ,Top it up with , , , , , ,,,
Absolutely Cranberry Smash,Stir ingredients together. Serve over ice.,Ordinary Drink,Cocktail glass,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,,,,2 oz ,4 oz ,2 oz ,Add , , , , , ,,,
Absolutely Fabulous,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Cocktail,Champagne flute,Vodka,Cranberry Juice,Champagne,,,,,,,,,,1 shot ,2 shots ,Top up with,"
","
","
","
",,,,,
Absolutly Screwed Up,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",Cocktail,Collins glass,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,,,1 shot ,1 shot ,1 shot ,Fill to top , , , , , ,,,
Acapulco,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Ordinary Drink,Old-fashioned glass,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1,1, , , , , ,
Ace,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Cocktail,Martini Glass,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot ,1/2 Fresh,"
","
",,,,,
Adam,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink,Cocktail glass,Dark rum,Lemon juice,Grenadine,,,,,,,,,,2 oz ,1 oz ,1 tsp , , , , , ,,,,
Adam & Eve,Shake together all the ingredients and strain into a cold glass.,Cocktail,Cocktail glass,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,
Adam Bomb,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Punch / Party Drink,Margarita/Coupette glass,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,1 part ,1 part ,1 part ,1/2 part ,"
","
",1-3 pint , , , , , 
Adam Sunrise,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",Ordinary Drink,Collins Glass,Vodka,Lemonade,Water,Sugar,,,,,,,,,01-Feb,1/2 can ,01-Feb,10 tsp , , , , , ,,,
Addington,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Cocktail,Cocktail glass,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,2 shots ,1 shot ,"Top up with
","
","
","
","
",,,,,
Addison,Shake together all the ingredients and strain into a cold glass.,Cocktail,Martini Glass,Gin,Vermouth,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,"
","
","
","
","
",,,,,
Addison Special,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Cocktail,Old-fashioned glass,Vodka,Grenadine,Orange juice,,,,,,,,,,1 shot ,1 tblsp ,Fill with , , , , , ,,,,
Adios Amigos Cocktail,Shake together all the ingredients and strain into a cold glass.,Cocktail,Martini Glass,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,1 shot ,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,,,
Adonis Cocktail,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,3/4 oz ,1 1/2 oz dry ,1 dash , , , , , ,,,,
Affair,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Ordinary Drink,Highball glass,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,2 oz ,2 oz ,2 oz ,"
","
","
","
","
","
",,,
Affinity,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Ordinary Drink,Cocktail glass,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes , , , , , ,,,
After Dinner Cocktail,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Ordinary Drink,Cocktail glass,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,1 oz ,1 oz ,Juice of 1 ,1, , , , , ,,,
After Five,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",Shot,Shot glass,Peppermint schnapps,Kahlua,Bailey's irish cream,,,,,,,,,,"
","
","
","
","
","
","
",,,,,
After Supper Cocktail,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,1 oz ,1 oz ,1/2 tsp , , , , , ,,,,
After sex,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Ordinary Drink,Highball glass,Vodka,Creme de Banane,Orange juice,,,,,,,,,,2 cl ,1 cl ,"
","
","
","
","
","
",,,,
Afterglow,Mix. Serve over ice.,Cocktail,Highball Glass,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,1 part ,4 parts ,4 parts , , , , , ,,,,
Afternoon,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Coffee / Tea,Collins Glass,Kahlua,Bailey's irish cream,Frangelico,Coffee,Cream,,,,,,,,1 cl ,1 cl ,1 1/2,4 cl hot ,"
","
","
","
","
","
",,
Alabama Slammer,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Ordinary Drink,Highball glass,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,1 oz ,1 oz ,1/2 oz ,1 dash , , , , , ,,,
Alaska Cocktail,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Ordinary Drink,Cocktail glass,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of , , , , , ,,,
Alexander,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Ordinary Drink,Cocktail glass,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,
Alfie Cocktail,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,1 1/2 oz ,1 dash ,1 tblsp , , , , , ,,,,
Algonquin,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz , , , , , ,,,,
Alice Cocktail,"Shake well, strain into a large cocktail glass.",Cocktail,Cocktail glass,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,1 cl ,1 cl ,2 cl ,4 cl , , , , , ,,,
Alice in Wonderland,Just mix the three ingredients one to one to one,Ordinary Drink,Collins Glass,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,1 shot ,1 shot ,1 shot , , , , , ,,,,
Allegheny,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Ordinary Drink,Cocktail glass,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of , , , , , ,,
Allies Cocktail,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Dry Vermouth,Gin,Kummel,,,,,,,,,,1 oz ,1 oz ,1/2 tsp , , , , , ,,,,
Almeria,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink,Cocktail glass,Dark rum,Kahlua,Egg white,,,,,,,,,,2 oz ,1 oz ,1, , , , , ,,,,
Almond Chocolate Coffee,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,Ordinary Drink,Coffee mug,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,,,3/4 oz ,1/2 oz ,8 oz , , , , , ,,,,
Almond Joy,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz , , , , , ,,,,
Aloha Fruit punch,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",Punch / Party Drink,Collins Glass,Water,Ginger,Guava juice,Lemon juice,Pineapple,Sugar,Pineapple juice,,,,,,3/4 cup ,2 tsp ,2 cups ,1 1/2 tblsp ,1 1/2 cup ,1 cup ,3-4 cups , , , , , 
Amaretto And Cream,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Amaretto,Light cream,,,,,,,,,,,1 1/2 oz ,1 1/2 oz , , , , , ,,,,,
Amaretto Liqueur,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",Homemade Liqueur,Collins Glass,Sugar,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,Food coloring,Food coloring,Glycerine,,1 cup,3/4 cup ,2,1 tblsp ,1/2 cup pure ,1/2 cup ,1 cup ,3 drops yellow ,6 drops red ,2 drops blue ,1/2 tsp , 
Amaretto Mist,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",Ordinary Drink,Old-fashioned glass,Amaretto,Lime,,,,,,,,,,,1 1/2 oz ,1, , , , , ,,,,,
Amaretto Rose,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,Ordinary Drink,Collins glass,Amaretto,Lime juice,Club soda,,,,,,,,,,1 1/2 oz ,1/2 oz ,"
","
","
","
","
","
",,,,
Amaretto Shake,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Ordinary Drink,Collins Glass,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,2 scoops ,2 oz ,2 oz , , , , , ,,,,
Amaretto Sour,Shake and strain. Garnish with a cherry and an orange slice.,Ordinary Drink,Collins Glass,Amaretto,Sour mix,,,,,,,,,,,1 1/2 oz ,3 oz , , , , , ,,,,,
Amaretto Stinger,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Amaretto,White Creme de Menthe,,,,,,,,,,,1 1/2 oz ,3/4 oz , , , , , ,,,,,
Amaretto Stone Sour,Shake and Serve over ice,Other/Unknown,Collins Glass,Amaretto,Sour mix,Orange juice,,,,,,,,,,1 part ,1 part ,1 part , , , , , ,,,,
Amaretto Stone Sour #3,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",Other/Unknown,Highball glass,Sour mix,Amaretto,Tequila,Orange juice,,,,,,,,,2 oz ,2 oz ,2 oz ,Add splash , , , , , ,,,
Amaretto Sunrise,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,Ordinary Drink,Collins Glass,Amaretto,Orange juice,Grenadine,,,,,,,,,,1 cl ,4 oz ,1/4 cl , , , , , ,,,,
Amaretto Sunset,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",Ordinary Drink,Collins Glass,Triple sec,Amaretto,Cider,Ice,,,,,,,,,1/2 jigger ,3 shots ,1/2 cup ,Add 1/2 cup , , , , , ,,,
Amaretto Sweet & Sour,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",Punch / Party Drink,Margarita/Coupette glass,Amaretto,Sweet and sour,Midori melon liqueur,Pineapple juice,,,,,,,,,"
","
", , , , , ,,,,,
Amaretto Tea,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",Ordinary Drink,Pousse cafe glass,Tea,Amaretto,Whipped cream,,,,,,,,,,6 oz hot ,2 oz ,Chilled , , , , , ,,,,
Americano,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Ordinary Drink,Collins glass,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,,,1 oz ,1 oz red ,Twist of ,Twist of , , , , , ,,,
Angel Face,Shake all ingredients with ice and strain contents into a cocktail glass.,Ordinary Drink,Cocktail glass,Apricot brandy,Apple brandy,Gin,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz , , , , , ,,,,
Angelica Liqueur,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.",Homemade Liqueur,Collins Glass,Angelica root,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram leaves,Vodka,Sugar,Water,Food coloring,Food coloring,3 tblsp chopped,1 tblsp chopped ,1 cracked ,1 one-inch ,3-6 crushed ,1/8 tsp powdered ,1 tblsp fresh chopped ,1.5 cup ,1/2 cup granulated ,1/4 cup ,1 drop yellow ,1 drop green 
Apello,Stirr. Grnish with maraschino cherry.,Other/Unknown,Collins Glass,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,4 cl ,3 cl ,1 cl ,1, , , , , ,,,
Apple Berry Smoothie,Throw everything into a blender and liquify.,Other/Unknown,Highball Glass,Berries,Apple,,,,,,,,,,,1 cup ,2, , , , , ,,,,,
Apple Cider Punch #1,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",Punch / Party Drink,Collins Glass,Apple cider,Brown sugar,Lemonade,Orange juice,Cloves,Allspice,Nutmeg,Cinnamon,,,,,4 qt ,1 cup ,6 oz frozen ,6 oz frozen ,6 whole ,6 whole ,1 tsp ground ,3 sticks , , , , 
Apple Grande,Chill both ingredients!! Mix in a tumbler and enjoy!,Punch / Party Drink,Punch Bowl,Tequila,Apple cider,,,,,,,,,,,3 oz ,12 oz , , , , , ,,,,,
Apple Karate,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Cocktail,Highball Glass,Apple juice,Carrot,,,,,,,,,,,2 cups ,1 large , , , , , ,,,,,
Apple Pie with A Crust,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,Other/Unknown,Collins Glass,Apple juice,Malibu rum,Cinnamon,,,,,,,,,,3 parts ,1 part ,3 dashes , , , , , ,,,,
Apple Slammer,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",Shot,Shot glass,7-Up,Apple schnapps,,,,,,,,,,,1 part ,1 part , , , , , ,,,,,
Applecar,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink,Cocktail glass,Applejack,Triple sec,Lemon juice,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,
Applejack,"Add all ingredients into mixing glass, chill and strain into cocktail glass",Cocktail,Cocktail glass,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,,,1 oz ,1/2 oz ,2 oz , , , , , ,,,,
Apricot Lady,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",Ordinary Drink,Old-fashioned glass,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 oz ,1,1, , , , , ,
Apricot punch,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,Punch / Party Drink,Punch bowl,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,1 qt ,4 fifth ,1 fifth ,4 L ,1/2 gal , , , , , ,,
